I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram TURNON from ApId 15 to ApId F3 (21 objects) processed
I|23.07.2009 15:00:40:046 |     |243   |(e8)|Telegram TURNON from ApId 15 to ApId 10 (21 objects) processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 29202 received
T|23.07.2009 15:00:40:046 |     |240   |(e8)|Telegram ID 29202 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram TURNON from ApId 66 to ApId F3 (4 objects) processed
I|23.07.2009 15:00:40:046 |     |243   |(e8)|Telegram TURNON from ApId 66 to ApId 10 (4 objects) processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:046 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:062 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:062 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 2299 received
I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram SH_LIST processed
T|23.07.2009 15:00:40:078 |     |240   |(e8)|Telegram ID 10002 received
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 10002 received
I|23.07.2009 15:00:40:078 |     |243   |(e8)|Telegram iNETZAUFNAHME ApId 10 processed
I|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram iNETZAUFNAHME ApId F3 processed
T|23.07.2009 15:00:40:078 |     |243   |(94)|Telegram ID 2299 received
